module_with_abi,item,0_device_this_device,1_device_that_device
module_4[arm64-v8a],pass,0,0
module_4[arm64-v8a],IGNORED,0,0
module_4[arm64-v8a],ASSUMPTION_FAILURE,0,0
module_4[arm64-v8a],fail,0,1
module_4[arm64-v8a],TEST_ERROR,0,0
module_4[arm64-v8a],TEST_STATUS_UNSPECIFIED,0,0
module_4[arm64-v8a],tested_items,0,1
module_4[arm64-v8a],pass_rate,0.0,0.0
module_1[arm64-v8a],pass,1,1
module_1[arm64-v8a],IGNORED,0,0
module_1[arm64-v8a],ASSUMPTION_FAILURE,0,0
module_1[arm64-v8a],fail,1,1
module_1[arm64-v8a],TEST_ERROR,0,0
module_1[arm64-v8a],TEST_STATUS_UNSPECIFIED,0,0
module_1[arm64-v8a],tested_items,2,2
module_1[arm64-v8a],pass_rate,0.5,0.5
module_2[arm64-v8a],pass,1,2
module_2[arm64-v8a],IGNORED,1,1
module_2[arm64-v8a],ASSUMPTION_FAILURE,1,0
module_2[arm64-v8a],fail,2,2
module_2[arm64-v8a],TEST_ERROR,0,0
module_2[arm64-v8a],TEST_STATUS_UNSPECIFIED,1,1
module_2[arm64-v8a],tested_items,6,6
module_2[arm64-v8a],pass_rate,0.5,0.5
module_3[arm64-v8a],pass,1,1
module_3[arm64-v8a],IGNORED,0,0
module_3[arm64-v8a],ASSUMPTION_FAILURE,0,0
module_3[arm64-v8a],fail,0,0
module_3[arm64-v8a],TEST_ERROR,1,0
module_3[arm64-v8a],TEST_STATUS_UNSPECIFIED,0,0
module_3[arm64-v8a],tested_items,2,1
module_3[arm64-v8a],pass_rate,0.5,1.0
